Age,Age_Category,Gender,Occupational_Status,State,City,Latitude,Longitude,Residence,Favourite_Shows,Series_Genre
23,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Town/City,Four More Shots Please,Romance
23,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Town/City,Emily in Paris,Comedy
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Money Heist,Crime
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Elite,Drama
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Stranger Things,Horror
20,11-20,Female,Student,West Bengal,Darjeeling,27.0417,88.2631,Town/City,Lucifer,Fantasy
20,11-20,Female,Student,West Bengal,Darjeeling,27.0417,88.2631,Town/City,It's Okay To Not Be Okay,K-drama
20,11-20,Female,Student,West Bengal,Darjeeling,27.0417,88.2631,Town/City,JL50,Sci-Fi
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Lucifer,Fantasy
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Family Man,Action
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Shark Tank,Indian TV Reality Show
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Family Man,Action
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Lucifer,Fantasy
27,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Shark Tank,Indian TV Reality Show
47,41-50,Female,Unemployed,Kerala,Ernakulam,9.9816,76.2999,Town/City,Naruto,Anime
47,41-50,Female,Unemployed,Kerala,Ernakulam,9.9816,76.2999,Town/City,Money Heist,Crime
47,41-50,Female,Unemployed,Kerala,Ernakulam,9.9816,76.2999,Town/City,Squid Game,K-drama
22,21-30,Female,Student,Gujarat,Vadodara,22.3,73.2,Town/City,Special Ops,Thriller
20,11-20,Male,Student,Kerala,Kochi,9.9667,76.2833,Town/City,Vikings,Adventure
20,11-20,Male,Student,Kerala,Kochi,9.9667,76.2833,Town/City,Sex Education,Comedy
20,11-20,Male,Student,Kerala,Kochi,9.9667,76.2833,Town/City,Squid Game,K-drama
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Shadow and Bone,Fantasy
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,The Umbrella Academy,Superhero
21,21-30,Female,Student,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Brooklyn Nine-Nine,Comedy
24,21-30,Male,Self Employed,Kerala,Kochi,9.9667,76.2833,Town/City,Naruto,Anime
24,21-30,Male,Self Employed,Kerala,Kochi,9.9667,76.2833,Town/City,One Punch Man,Anime
24,21-30,Male,Self Employed,Kerala,Kochi,9.9667,76.2833,Town/City,Death Note,Anime
50,41-50,Female,Homemaker,Kerala,Kochi,9.9667,76.2833,Town/City,Kudumbavilakku,Indian TV Series
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Game of Thrones,Fantasy
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Sacred Games,Crime
23,21-30,Male,Employed,Gujarat,Vadodara,22.3,73.2,Metrpolitan,Narcos,Crime
31,31-40,Female,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Young Sheldon,Comedy
31,31-40,Female,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Schitt's Creek,Comedy
31,31-40,Female,Employed,Karnataka,Bangalore,12.9699,77.598,Town/City,Ozark,Crime
21,21-30,Male,Student,Telangana,Hyderabad,17.3667,78.4667,Metrpolitan,Friends,Comedy
21,21-30,Male,Student,Telangana,Hyderabad,17.3667,78.4667,Metrpolitan,The Big Bang Theory,Comedy
21,21-30,Male,Student,Telangana,Hyderabad,17.3667,78.4667,Metrpolitan,How I Met Your Mother,Romantic Comedy
21,21-30,Female,Student,Kerala,Kollam,8.9969,76.8721,Town/City,The Vampire Diaries,Horror
