Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
21,21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Romantic Comedy
21,21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Crime/Mystery
21,21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Action
21,21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Anime
64,61-70,Female,Retired,,Kerala,Thrissur,10.52,76.21,Town/City,Romantic Comedy
21,21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Romantic Comedy
21,21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Crime/Mystery
21,21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Action
21,21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Thriller
17,11-20,Female,Student,,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Romantic Comedy
49,41-50,Female,Unemployed,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Action
49,41-50,Female,Unemployed,,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Thriller
21,21-30,Female,Unemployed,,Karnataka,Mysore,12.3086,76.6531,Town/City,Romantic Comedy
21,21-30,Female,Unemployed,,Karnataka,Mysore,12.3086,76.6531,Town/City,Sci-Fi/Fantasy
21,21-30,Female,Unemployed,,Karnataka,Mysore,12.3086,76.6531,Town/City,Horror
21,21-30,Female,Unemployed,,Karnataka,Mysore,12.3086,76.6531,Town/City,Thriller
20,11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Romantic Comedy
20,11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Horror
20,11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Crime/Mystery
20,11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Action
20,11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Thriller
22,21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Romantic Comedy
22,21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Horror
22,21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Crime/Mystery
22,21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Thriller
29,21-30,Female,Employed,between 6 and 9 lakhs,Karnataka ,Bangalore,12.9699,77.598,Town/City,Romantic Comedy
29,21-30,Female,Employed,between 6 and 9 lakhs,Karnataka ,Bangalore,12.9699,77.598,Town/City,Crime/Mystery
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Romantic Comedy
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Sci-Fi/Fantasy
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Horror
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Crime/Mystery
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Action
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Thriller
22,21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Anime
26,21-30,Female,Employed,between 1 and  3 lakhs,Kerala,Ernakulam,9.9816,76.2999,Town/City,Romantic Comedy
26,21-30,Female,Employed,between 1 and  3 lakhs,Kerala,Ernakulam,9.9816,76.2999,Town/City,Action
26,21-30,Female,Employed,between 1 and  3 lakhs,Kerala,Ernakulam,9.9816,76.2999,Town/City,Thriller
21,21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Romantic Comedy
21,21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Crime/Mystery
21,21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Action
21,21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Anime
23,21-30,Female,Unemployed,,Kerala,Kollam,8.9969,76.8721,Rural,Romantic Comedy
23,21-30,Female,Unemployed,,Kerala,Kollam,8.9969,76.8721,Rural,Crime/Mystery
23,21-30,Female,Unemployed,,Kerala,Kollam,8.9969,76.8721,Rural,Thriller
23,21-30,Female,Unemployed,,Kerala,Kollam,8.9969,76.8721,Rural,Anime
18,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Anime
21,21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
21,21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Horror
21,21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
21,21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Thriller
21,21-30,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Thriller
23,21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Sci-Fi/Fantasy
23,21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Crime/Mystery
23,21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Thriller
25,21-30,Male,Self Employed,less than 1 lakh,Kerala,Bangalore,12.9699,77.598,Town/City,Crime/Mystery
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Action
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Anime
21,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
21,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
21,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Action
21,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Thriller
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Horror
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Action
21,21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Anime
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Romantic Comedy
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Horror
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Crime/Mystery
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Action
17,11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Thriller
22,21-30,Female,Unemployed,,Gujarat ,Vadodara,22.3,73.2,Town/City,Romantic Comedy
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Romantic Comedy
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Horror
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Crime/Mystery
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Action
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Thriller
20,11-20,Male,Unemployed,,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Romantic Comedy
20,11-20,Male,Unemployed,,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Sci-Fi/Fantasy
20,11-20,Male,Unemployed,,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Crime/Mystery
