Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,The Tomorrow War,Sci-Fi
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,The Fallout,Drama
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Rural,Student,Miracle In Cell No 7,Comedy
19,11-20,Female,West Bengal,Siliguri,26.72,88.42,Town/City,Student,The Platform,Horror
19,11-20,Female,West Bengal,Siliguri,26.72,88.42,Town/City,Student,Nightcrawler,Thriller
19,11-20,Female,West Bengal,Siliguri,26.72,88.42,Town/City,Student,Passengers,Sci-Fi
21,21-30,Male,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Student,Home,Comedy
21,21-30,Male,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Student,Minnal Murali,Action
21,21-30,Male,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Student,Varane Aavashyamund,Comedy
64,61-70,Female,Kerala,Thrissur,10.52,76.21,Town/City,Retired,Home,Comedy
64,61-70,Female,Kerala,Thrissur,10.52,76.21,Town/City,Retired,Veyilmarangal,Drama
64,61-70,Female,Kerala,Thrissur,10.52,76.21,Town/City,Retired,The Great Indian Kitchen,Drama
21,21-30,Female,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Employed,Shershaah,Action
21,21-30,Female,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Employed,Dune,Sci-Fi
21,21-30,Female,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Employed,The Shawshank Redemption,Drama
17,11-20,Female,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Student,Spiderman,Superhero
17,11-20,Female,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Student,Lift,Horror
17,11-20,Female,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Student,Super Saranya,Romantic Comedy
49,41-50,Female,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Bro Daddy,Comedy
49,41-50,Female,Kerala ,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Minnal Murali,Action
21,21-30,Female,Karnataka,Mysore,12.3086,76.6531,Town/City,Unemployed,83,Drama
21,21-30,Female,Karnataka,Mysore,12.3086,76.6531,Town/City,Unemployed,The Vouyers,Romance
21,21-30,Female,Karnataka,Mysore,12.3086,76.6531,Town/City,Unemployed,Work It,Drama
20,11-20,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Bro Daddy,Comedy
22,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Employed,Atrangi Re,Drama
22,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Employed,Shiddat,Romance
22,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Employed,Badava Rascal,Romantic Comedy
29,21-30,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Employed,Meenakshi Sunderashwar,Romantic Comedy
29,21-30,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Employed,Minnal Murali,Action
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Avengers Endgame,Sci-Fi
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Spiderman: Far From Home,Sci-Fi
22,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Don't Breathe,Horror
26,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Bro Daddy,Comedy
26,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Hridayam,Romance
26,21-30,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Employed,Super Saranya,Romantic Comedy
21,21-30,Male,Kerala,Kozhikode,11.2588,75.7804,Town/City,Unemployed,Minnal Murali,Action
21,21-30,Male,Kerala,Kozhikode,11.2588,75.7804,Town/City,Unemployed,Bro Daddy,Comedy
21,21-30,Male,Kerala,Kozhikode,11.2588,75.7804,Town/City,Unemployed,Cold Case,Crime
23,21-30,Female,Kerala,Kollam,8.9969,76.8721,Rural,Unemployed,Spiderman: No Way Home,Sci-Fi
23,21-30,Female,Kerala,Kollam,8.9969,76.8721,Rural,Unemployed,Minnal Murali,Action
18,11-20,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Jan.E.Man,Comedy
18,11-20,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Kurup,Thriller
18,11-20,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Spiderman: No Way Home,Sci-Fi
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,Badava Rascal,Romantic Comedy
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,Pushpa,Action
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Self Employed,Bajarangi 2,Fantasy
21,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Nayakan,Crime
21,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Shawshank Redemption,Drama
21,21-30,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,City Of God,Crime
